wavelength,RSR_Rrs_400,RSR_Rrs_412,RSR_Rrs_443,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_560,RSR_Rrs_620,RSR_Rrs_667,RSR_Rrs_779,RSR_Rrs_865,RSR_Rrs_1020
395,1.0,,,,,,,,,,
396,1.0,,,,,,,,,,
397,1.0,,,,,,,,,,
398,1.0,,,,,,,,,,
399,1.0,,,,,,,,,,
400,1.0,,,,,,,,,,
401,1.0,,,,,,,,,,
402,1.0,,,,,,,,,,
403,1.0,,,,,,,,,,
404,1.0,,,,,,,,,,
405,1.0,,,,,,,,,,
406,,,,,,,,,,,
407,,1.0,,,,,,,,,
408,,1.0,,,,,,,,,
409,,1.0,,,,,,,,,
410,,1.0,,,,,,,,,
411,,1.0,,,,,,,,,
412,,1.0,,,,,,,,,
413,,1.0,,,,,,,,,
414,,1.0,,,,,,,,,
415,,1.0,,,,,,,,,
416,,1.0,,,,,,,,,
417,,1.0,,,,,,,,,
418,,,,,,,,,,,
419,,,,,,,,,,,
420,,,,,,,,,,,
421,,,,,,,,,,,
422,,,,,,,,,,,
423,,,,,,,,,,,
424,,,,,,,,,,,
425,,,,,,,,,,,
426,,,,,,,,,,,
427,,,,,,,,,,,
428,,,,,,,,,,,
429,,,,,,,,,,,
430,,,,,,,,,,,
431,,,,,,,,,,,
432,,,,,,,,,,,
433,,,,,,,,,,,
434,,,,,,,,,,,
435,,,,,,,,,,,
436,,,,,,,,,,,
437,,,,,,,,,,,
438,,,1.0,,,,,,,,
439,,,1.0,,,,,,,,
440,,,1.0,,,,,,,,
441,,,1.0,,,,,,,,
442,,,1.0,,,,,,,,
443,,,1.0,,,,,,,,
444,,,1.0,,,,,,,,
445,,,1.0,,,,,,,,
446,,,1.0,,,,,,,,
447,,,1.0,,,,,,,,
448,,,1.0,,,,,,,,
449,,,,,,,,,,,
450,,,,,,,,,,,
451,,,,,,,,,,,
452,,,,,,,,,,,
453,,,,,,,,,,,
454,,,,,,,,,,,
