wavelength,RSR_Rrs_380,RSR_Rrs_412,RSR_Rrs_443,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_555,RSR_Rrs_620,RSR_Rrs_660,RSR_Rrs_680,RSR_Rrs_709,RSR_Rrs_745,RSR_Rrs_865
353,,,,,,,,,,,,
354,,,,,,,,,,,,
355,,,,,,,,,,,,
356,,,,,,,,,,,,
357,,,,,,,,,,,,
358,,,,,,,,,,,,
359,0.0161,,,,,,,,,,,
360,0.032866482,,,,,,,,,,,
361,0.017058935,,,,,,,,,,,
362,0,,,,,,,,,,,
363,0.011172401,,,,,,,,,,,
364,0,,,,,,,,,,,
365,0,,,,,,,,,,,
366,0,,,,,,,,,,,
367,0,,,,,,,,,,,
368,0.107148935,,,,,,,,,,,
369,0.296543,,,,,,,,,,,
370,0.405819359,,,,,,,,,,,
371,0.593658961,,,,,,,,,,,
372,0.689400805,,,,,,,,,,,
373,0.776930193,,,,,,,,,,,
374,0.881598574,,,,,,,,,,,
375,0.879386119,,,,,,,,,,,
376,0.899978977,,,,,,,,,,,
377,0.886278977,,,,,,,,,,,
378,0.807316121,,,,,,,,,,,
379,0.763490805,,,,,,,,,,,
380,0.686490805,,,,,,,,,,,
381,0.643617746,,,,,,,,,,,
382,0.614787945,,,,,,,,,,,
383,0.630800188,,,,,,,,,,,
384,0.72685571,,,,,,,,,,,
385,0.843829991,,,,,,,,,,,
386,0.900333871,,,,,,,,,,,
387,0.957265915,,,,,,,,,,,
388,1,,,,,,,,,,,
389,0.973160208,,,,,,,,,,,
390,0.775046932,,,,,,,,,,,
391,0.572958144,,,,,,,,,,,
392,0.371197529,,,,,,,,,,,
393,0.185337925,0.00002998,,,,,,,,,,
394,0.041264654,0.002243477,,,,,,,,,,
395,0.008957713,0.000158233,,,,,,,,,,
396,0.003028912,0.002924234,,,,,,,,,,
397,0.003044045,0.003374564,,,,,,,,,,
398,0.001902111,0.003595107,,,,,,,,,,
399,0.001902111,0.014866844,,,,,,,,,,
400,0.0011713,0.035623667,,,,,,,,,,
401,,0.130320998,,,,,,,,,,
402,,0.36636136,,,,,,,,,,
403,,0.749766638,,,,,,,,,,
404,,0.855377185,,,,,,,,,,
405,,0.843647654,,,,,,,,,,
406,,0.843647654,,,,,,,,,,
407,,0.85016776,,,,,,,,,,
408,,0.86516776,,,,,,,,,,
409,,0.88870975,,,,,,,,,,
410,,0.931849567,,,,,,,,,,
411,,0.964294657,,,,,,,,,,
412,,0.969422605,,,,,,,,,,
413,,0.955450949,,,,,,,,,,
414,,0.956001803,,,,,,,,,,
415,,0.979300165,,,,,,,,,,
416,,0.990204817,,,,,,,,,,
417,,0.999113977,,,,,,,,,,
418,,1,,,,,,,,,,
419,,0.982788823,,,,,,,,,,
420,,0.955842406,,,,,,,,,,
421,,0.924763383,,,,,,,,,,
422,,0.631256948,,,,,,,,,,
423,,0.201485703,,,,,,,,,,
424,,0.041568306,0.00025,,,,,,,,,
425,,0.013751315,0.0000401,,,,,,,,,
426,,0.002844409,0.0001,,,,,,,,,
427,,0.001141832,0.000482816,,,,,,,,,
428,,0,0.000932816,,,,,,,,,
429,,0,0.001392816,,,,,,,,,
430,,0,0.001856382,,,,,,,,,
431,,0,0.002767733,,,,,,,,,
432,,0.0000701,0.026516733,,,,,,,,,
433,,,0.186035774,,,,,,,,,
434,,,0.63059362,,,,,,,,,
435,,,0.878395198,,,,,,,,,
436,,,0.896131532,,,,,,,,,
437,,,0.865614799,,,,,,,,,
438,,,0.830255154,,,,,,,,,
439,,,0.817557666,,,,,,,,,
440,,,0.84365788,,,,,,,,,
441,,,0.878317507,,,,,,,,,
442,,,0.905305844,,,,,,,,,
443,,,0.915232971,,,,,,,,,
444,,,0.93903198,,,,,,,,,
445,,,0.953506113,,,,,,,,,
446,,,0.935506113,,,,,,,,,
447,,,0.917163773,,,,,,,,,
448,,,0.897095136,,,,,,,,,
449,,,0.89727431,,,,,,,,,
450,,,0.954434786,,,,,,,,,
451,,,1,,,,,,,,,
452,,,0.908337181,,,,,,,,,
453,,,0.637671893,,,,,,,,,
454,,,0.307349086,,,,,,,,,
455,,,0.064752173,,,,,,,,,
456,,,0.011512979,,,,,,,,,
457,,,0.001211915,,,,,,,,,
458,,,0.000111915,,,,,,,,,
459,,,0.00060199,,,,,,,,,
460,,,0.000642478,,,,,,,,,
461,,,0.000422478,,,,,,,,,
462,,,0.000202478,,,,,,,,,
463,,,,,,,,,,,,
464,,,,,,,,,,,,
465,,,,,,,,,,,,
466,,,,,,,,,,,,
467,,,,,,,,,,,,
468,,,,,,,,,,,,
469,,,,0.00001,,,,,,,,
470,,,,0.0000701,,,,,,,,
471,,,,0.000130095,,,,,,,,
472,,,,0.000190139,,,,,,,,
473,,,,0.000240184,,,,,,,,
474,,,,0.000460348,,,,,,,,
475,,,,0.003242457,,,,,,,,
476,,,,0.029752629,,,,,,,,
477,,,,0.089738939,,,,,,,,
478,,,,0.126916926,,,,,,,,
479,,,,0.167378481,,,,,,,,
480,,,,0.276582568,,,,,,,,
481,,,,0.486643356,,,,,,,,
482,,,,0.720904296,,,,,,,,
483,,,,0.862944387,,,,,,,,
484,,,,0.901223782,,,,,,,,
485,,,,0.907068282,,,,,,,,
486,,,,0.916165447,,,,,,,,
487,,,,0.937411647,,,,,,,,
488,,,,0.973729332,,,,,,,,
489,,,,0.995676591,0.000000106,,,,,,,
490,,,,1,0.000000706,,,,,,,
491,,,,0.994195571,0.000078706,,,,,,,
492,,,,0.972839286,0.000140305,,,,,,,
493,,,,0.944447624,0.000065305,,,,,,,
494,,,,0.91419465,0.0001971,,,,,,,
495,,,,0.879087057,0.001152151,,,,,,,
496,,,,0.863365191,0.001372151,,,,,,,
497,,,,0.873472573,0.004127653,,,,,,,
498,,,,0.863935298,0.022735598,,,,,,,
499,,,,0.733496512,0.13788398,,,,,,,
500,,,,0.585751028,0.412423605,,,,,,,
501,,,,0.534101858,0.707745717,,,,,,,
502,,,,0.401969917,0.813269512,,,,,,,
503,,,,0.081192638,0.839385833,,,,,,,
504,,,,0.016312641,0.872314097,,,,,,,
505,,,,0.003222485,0.905872658,,,,,,,
506,,,,0.00269208,0.945755636,,,,,,,
507,,,,0.002291788,0.97765241,,,,,,,
508,,,,0.00160126,0.992410831,,,,,,,
509,,,,0.000800641,0.99265776,,,,,,,
510,,,,0.000000214,0.981977467,,,,,,,
511,,,,,0.982105621,,,,,,,
512,,,,,0.99371045,,,,,,,
513,,,,,0.999183509,,,,,,,
514,,,,,1,,,,,,,
