wavelength,RSR_Rrs_412.5,RSR_Rrs_442.5,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_560,RSR_Rrs_620,RSR_Rrs_665,RSR_Rrs_681.25,RSR_Rrs_708.75,RSR_Rrs_753.75,RSR_Rrs_761.875,RSR_Rrs_778.75,RSR_Rrs_865,RSR_Rrs_885,RSR_Rrs_900
405,,,,,,,,,,,,,,,
406,0.00533265,,,,,,,,,,,,,,
407,0.179256,,,,,,,,,,,,,,
408,0.796243,,,,,,,,,,,,,,
409,0.982404,,,,,,,,,,,,,,
410,0.98642,,,,,,,,,,,,,,
411,0.990914,,,,,,,,,,,,,,
412,0.99721,,,,,,,,,,,,,,
413,0.998069,,,,,,,,,,,,,,
414,0.993495,,,,,,,,,,,,,,
415,0.990603,,,,,,,,,,,,,,
416,0.986937,,,,,,,,,,,,,,
417,0.791874,,,,,,,,,,,,,,
418,0.177202,,,,,,,,,,,,,,
419,0.00539393,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,
436,,0.00653662,,,,,,,,,,,,,
437,,0.188566,,,,,,,,,,,,,
438,,0.792469,,,,,,,,,,,,,
439,,0.984247,,,,,,,,,,,,,
440,,0.989681,,,,,,,,,,,,,
441,,0.99314,,,,,,,,,,,,,
442,,0.998068,,,,,,,,,,,,,
443,,0.998612,,,,,,,,,,,,,
444,,0.994781,,,,,,,,,,,,,
445,,0.99236,,,,,,,,,,,,,
446,,0.987122,,,,,,,,,,,,,
447,,0.789769,,,,,,,,,,,,,
448,,0.187285,,,,,,,,,,,,,
449,,0.00659173,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,
469,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,
483,,,0.000766727,,,,,,,,,,,,
484,,,0.0501933,,,,,,,,,,,,
485,,,0.488817,,,,,,,,,,,,
486,,,0.940987,,,,,,,,,,,,
487,,,0.997659,,,,,,,,,,,,
488,,,0.998593,,,,,,,,,,,,
489,,,0.995141,,,,,,,,,,,,
490,,,0.993103,,,,,,,,,,,,
491,,,0.995496,,,,,,,,,,,,
492,,,0.999311,,,,,,,,,,,,
493,,,0.998734,,,,,,,,,,,,
494,,,0.941362,,,,,,,,,,,,
495,,,0.487592,,,,,,,,,,,,
496,,,0.0501884,,,,,,,,,,,,
497,,,0.000774521,,,,,,,,,,,,
498,,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,
501,,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,,
503,,,,0.000807581,,,,,,,,,,,
504,,,,0.0512895,,,,,,,,,,,
505,,,,0.490609,,,,,,,,,,,
506,,,,0.941198,,,,,,,,,,,
507,,,,0.998097,,,,,,,,,,,
508,,,,0.99898,,,,,,,,,,,
509,,,,0.995546,,,,,,,,,,,
510,,,,0.993477,,,,,,,,,,,
511,,,,0.995713,,,,,,,,,,,
512,,,,0.999316,,,,,,,,,,,
513,,,,0.998592,,,,,,,,,,,
514,,,,0.941338,,,,,,,,,,,
515,,,,0.490079,,,,,,,,,,,
516,,,,0.0513008,,,,,,,,,,,
517,,,,0.000811489,,,,,,,,,,,
518,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,
526,,,,,,,,,,,,,,,
527,,,,,,,,,,,,,,,
528,,,,,,,,,,,,,,,
529,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,
532,,,,,,,,,,,,,,,
533,,,,,,,,,,,,,,,
534,,,,,,,,,,,,,,,
535,,,,,,,,,,,,,,,
536,,,,,,,,,,,,,,,
537,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,
539,,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,
541,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,
543,,,,,,,,,,,,,,,
544,,,,,,,,,,,,,,,
545,,,,,,,,,,,,,,,
546,,,,,,,,,,,,,,,
547,,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,,
550,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,
553,,,,,0.000844258,,,,,,,,,,
554,,,,,0.0524127,,,,,,,,,,
555,,,,,0.493891,,,,,,,,,,
556,,,,,0.942136,,,,,,,,,,
557,,,,,0.998603,,,,,,,,,,
558,,,,,0.999353,,,,,,,,,,
559,,,,,0.995729,,,,,,,,,,
560,,,,,0.993462,,,,,,,,,,
561,,,,,0.995548,,,,,,,,,,
562,,,,,0.998995,,,,,,,,,,
563,,,,,0.998066,,,,,,,,,,
564,,,,,0.941866,,,,,,,,,,
565,,,,,0.494534,,,,,,,,,,
566,,,,,0.0524588,,,,,,,,,,
567,,,,,0.000841312,,,,,,,,,,
568,,,,,,,,,,,,,,,
569,,,,,,,,,,,,,,,
570,,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,,
572,,,,,,,,,,,,,,,
573,,,,,,,,,,,,,,,
574,,,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,
576,,,,,,,,,,,,,,,
577,,,,,,,,,,,,,,,
578,,,,,,,,,,,,,,,
579,,,,,,,,,,,,,,,
580,,,,,,,,,,,,,,,
581,,,,,,,,,,,,,,,
582,,,,,,,,,,,,,,,
583,,,,,,,,,,,,,,,
584,,,,,,,,,,,,,,,
585,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,
587,,,,,,,,,,,,,,,
588,,,,,,,,,,,,,,,
589,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,
591,,,,,,,,,,,,,,,
592,,,,,,,,,,,,,,,
593,,,,,,,,,,,,,,,
594,,,,,,,,,,,,,,,
595,,,,,,,,,,,,,,,
596,,,,,,,,,,,,,,,
597,,,,,,,,,,,,,,,
598,,,,,,,,,,,,,,,
599,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,
603,,,,,,,,,,,,,,,
604,,,,,,,,,,,,,,,
605,,,,,,,,,,,,,,,
606,,,,,,,,,,,,,,,
607,,,,,,,,,,,,,,,
608,,,,,,,,,,,,,,,
609,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,,,
612,,,,,,,,,,,,,,,
613,,,,,,0.000768632,,,,,,,,,
614,,,,,,0.0510914,,,,,,,,,
615,,,,,,0.496179,,,,,,,,,
616,,,,,,0.944322,,,,,,,,,
617,,,,,,0.998708,,,,,,,,,
618,,,,,,0.999287,,,,,,,,,
619,,,,,,0.995084,,,,,,,,,
620,,,,,,0.992401,,,,,,,,,
621,,,,,,0.994685,,,,,,,,,
