wavelength,RSR_Rrs_400,RSR_Rrs_412.5,RSR_Rrs_442.5,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_560,RSR_Rrs_620,RSR_Rrs_665,RSR_Rrs_673.75,RSR_Rrs_681.25,RSR_Rrs_708.75,RSR_Rrs_753.75,RSR_Rrs_761.25,RSR_Rrs_764.375,RSR_Rrs_767.5,RSR_Rrs_778.75,RSR_Rrs_865,RSR_Rrs_885,RSR_Rrs_900,RSR_Rrs_940,RSR_Rrs_1020
387,,,,,,,,,,,,,,,,,,,,,
388,0,,,,,,,,,,,,,,,,,,,,
389,0.000000209,,,,,,,,,,,,,,,,,,,,
390,0.000093481,,,,,,,,,,,,,,,,,,,,
391,0.00865023,,,,,,,,,,,,,,,,,,,,
392,0.145228,,,,,,,,,,,,,,,,,,,,
393,0.42513,,,,,,,,,,,,,,,,,,,,
394,0.525438,,,,,,,,,,,,,,,,,,,,
395,0.579783,,,,,,,,,,,,,,,,,,,,
396,0.634964,,,,,,,,,,,,,,,,,,,,
397,0.695403,,,,,,,,,,,,,,,,,,,,
398,0.760617,,,,,,,,,,,,,,,,,,,,
399,0.827648,,,,,,,,,,,,,,,,,,,,
400,0.890777,,,,,,,,,,,,,,,,,,,,
401,0.929469,,,,,,,,,,,,,,,,,,,,
402,0.940113,,,,,,,,,,,,,,,,,,,,
403,0.959591,0.000000005,,,,,,,,,,,,,,,,,,,
404,0.980764,0.000004976,,,,,,,,,,,,,,,,,,,
405,0.997316,0.0011925,,,,,,,,,,,,,,,,,,,
406,0.952355,0.0570395,,,,,,,,,,,,,,,,,,,
407,0.500745,0.494154,,,,,,,,,,,,,,,,,,,
408,0.0551533,0.92198,,,,,,,,,,,,,,,,,,,
409,0.00105323,0.981286,,,,,,,,,,,,,,,,,,,
410,0.000004472,0.987823,,,,,,,,,,,,,,,,,,,
411,0.000000004,0.98987,,,,,,,,,,,,,,,,,,,
412,,0.991946,,,,,,,,,,,,,,,,,,,
413,,0.994596,,,,,,,,,,,,,,,,,,,
414,,0.993343,,,,,,,,,,,,,,,,,,,
415,,0.987926,,,,,,,,,,,,,,,,,,,
416,,0.904036,,,,,,,,,,,,,,,,,,,
417,,0.423677,,,,,,,,,,,,,,,,,,,
418,,0.0423855,,,,,,,,,,,,,,,,,,,
419,,0.000808442,,,,,,,,,,,,,,,,,,,
420,,0.000003389,,,,,,,,,,,,,,,,,,,
421,,0.000000003,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,
434,,,0.000000015,,,,,,,,,,,,,,,,,,
435,,,0.000009303,,,,,,,,,,,,,,,,,,
436,,,0.00154075,,,,,,,,,,,,,,,,,,
437,,,0.0600091,,,,,,,,,,,,,,,,,,
438,,,0.47551,,,,,,,,,,,,,,,,,,
439,,,0.925863,,,,,,,,,,,,,,,,,,
440,,,0.998429,,,,,,,,,,,,,,,,,,
441,,,0.999203,,,,,,,,,,,,,,,,,,
442,,,0.99608,,,,,,,,,,,,,,,,,,
443,,,0.992433,,,,,,,,,,,,,,,,,,
444,,,0.988636,,,,,,,,,,,,,,,,,,
445,,,0.985844,,,,,,,,,,,,,,,,,,
446,,,0.979486,,,,,,,,,,,,,,,,,,
447,,,0.906571,,,,,,,,,,,,,,,,,,
448,,,0.479452,,,,,,,,,,,,,,,,,,
449,,,0.0649061,,,,,,,,,,,,,,,,,,
450,,,0.0018555,,,,,,,,,,,,,,,,,,
451,,,0.000012616,,,,,,,,,,,,,,,,,,
452,,,0.000000022,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,
469,,,,,,,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,,,
481,,,,0.000000004,,,,,,,,,,,,,,,,,
482,,,,0.000002545,,,,,,,,,,,,,,,,,
483,,,,0.000488219,,,,,,,,,,,,,,,,,
484,,,,0.0244936,,,,,,,,,,,,,,,,,
485,,,,0.285737,,,,,,,,,,,,,,,,,
486,,,,0.803087,,,,,,,,,,,,,,,,,
487,,,,0.970371,,,,,,,,,,,,,,,,,
488,,,,0.981796,,,,,,,,,,,,,,,,,
489,,,,0.984283,,,,,,,,,,,,,,,,,
490,,,,0.987358,,,,,,,,,,,,,,,,,
491,,,,0.990852,,,,,,,,,,,,,,,,,
492,,,,0.994942,,,,,,,,,,,,,,,,,
