wavelength,RSR_Rrs_380,RSR_Rrs_412,RSR_Rrs_443,RSR_Rrs_490,RSR_Rrs_530,RSR_Rrs_565,RSR_Rrs_673.5,RSR_Rrs_763
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,,,,,
354,,,,,,,,
355,,,,,,,,
356,,,,,,,,
357,,,,,,,,
358,,,,,,,,
359,,,,,,,,
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,,
366,,,,,,,,
367,,,,,,,,
368,,,,,,,,
369,0.003029,,,,,,,
370,0.00743,,,,,,,
371,0.017713,,,,,,,
372,0.054096,,,,,,,
373,0.157679,,,,,,,
374,0.363558,,,,,,,
375,0.644181,,,,,,,
376,0.868068,,,,,,,
377,0.934057,,,,,,,
378,0.955635,,,,,,,
379,0.990189,,,,,,,
380,0.990991,,,,,,,
381,0.976513,,,,,,,
382,0.947097,,,,,,,
383,0.914431,,,,,,,
384,0.79102,,,,,,,
385,0.539607,,,,,,,
386,0.28189,,,,,,,
387,0.124656,,,,,,,
388,0.053261,,,,,,,
389,0.023414,,,,,,,
390,0.011162,,,,,,,
391,0.005735,,,,,,,
392,,,,,,,,
393,,,,,,,,
394,,,,,,,,
395,,,,,,,,
396,,,,,,,,
397,,,,,,,,
398,,,,,,,,
399,,,,,,,,
400,,,,,,,,
401,,,,,,,,
402,,0.008032,,,,,,
403,,0.018845,,,,,,
404,,0.045436,,,,,,
405,,0.103504,,,,,,
406,,0.227618,,,,,,
407,,0.448856,,,,,,
408,,0.716855,,,,,,
409,,0.915624,,,,,,
410,,0.987321,,,,,,
411,,0.990642,,,,,,
412,,0.968782,,,,,,
413,,0.958081,,,,,,
414,,0.946085,,,,,,
415,,0.919369,,,,,,
416,,0.835337,,,,,,
417,,0.653573,,,,,,
418,,0.394773,,,,,,
419,,0.188938,,,,,,
420,,0.085247,,,,,,
421,,0.041004,,,,,,
422,,0.022093,,,,,,
