wavelength,RSR_Rrs_412,RSR_Rrs_445,RSR_Rrs_488,RSR_Rrs_555,RSR_Rrs_672,RSR_Rrs_746,RSR_Rrs_865
372,,,,,,,
373,,,,,,,
374,,,,,,,
375,,,,,,,
376,,,,,,,
377,,,,,,,
378,,,,,,,
379,,,,,,,
380,,,,,,,
381,,,,,,,
382,,,,,,,
383,,,,,,,
384,,,,,,,
385,,,,,,,
386,,,,,,,
387,,,,,,,
388,0.0001417,,,,,,
389,0.0002577,,,,,,
390,0.0004334,,,,,,
391,0.0014394,,,,,,
392,0.0024454,,,,,,
393,0.0034514,,,,,,
394,0.0047783,,,,,,
395,0.0115434,,,,,,
396,0.0359678,,,,,,
397,0.0982978,,,,,,
398,0.1834973,,,,,,
399,0.2778852,,,,,,
400,0.4543014,,,,,,
401,0.6564471,,,,,,
402,0.735808,,,,,,
403,0.7330458,,,,,,
404,0.7826986,,,,,,
405,0.8178059,,,,,,
406,0.8489076,,,,,,
407,0.8591129,,,,,,
408,0.8675508,,,,,,
409,0.8885369,,,,,,
410,0.9149082,,,,,,
411,0.9424463,,,,,,
412,0.9794835,,,,,,
413,0.9980788,,,,,,
414,0.9566687,,,,,,
415,0.9219302,,,,,,
416,0.9457074,,,,,,
417,0.9915034,,,,,,
418,0.9933546,,,,,,
419,0.9062645,,,,,,
420,0.7130646,0.0002061,,,,,
421,0.3992507,0.0003411,,,,,
422,0.1638731,0.000476,,,,,
423,0.0822897,0.000611,,,,,
424,0.0590578,0.0007459,,,,,
425,0.0399344,0.000891,,,,,
426,0.0192413,0.0012352,,,,,
427,0.0077047,0.0015793,,,,,
428,0.0039571,0.0019599,,,,,
429,0.0030909,0.0030549,,,,,
430,0.002475,0.0041784,,,,,
431,0.0019746,0.0077109,,,,,
432,0.0013996,0.0180133,,,,,
433,0.0011086,0.0828648,,,,,
434,0.0008176,0.1845794,,,,,
435,0.0005266,0.3683739,,,,,
436,0.0004251,0.6106243,,,,,
437,0.0003966,0.7387728,,,,,
438,0.0004247,0.766947,,,,,
439,0.0003849,0.7959669,,,,,
440,0.0003665,0.7823449,,,,,
441,,0.7527514,,,,,
442,,0.8034199,,,,,
443,,0.9175884,,,,,
444,,0.9924573,,,,,
445,,0.9925645,,,,,
446,,0.9592331,,,,,
447,,0.914435,,,,,
448,,0.863177,,,,,
449,,0.7814929,,,,,
450,,0.6322516,,,,,
451,,0.4357891,,,,,
452,,0.2808119,,,,,
453,,0.1869751,,,,,
454,,0.1281995,,,,,
455,,0.0833747,,,,,
456,,0.0527171,,,,,
457,,0.0273132,,,,,
458,,0.0138411,,,,,
459,,0.0071923,,,,,
460,,0.0040511,0.0003118,,,,
461,,0.002435,0.0003256,,,,
462,,0.0015082,0.0003497,,,,
463,,0.0009184,0.000385,,,,
464,,0.0004978,0.0004488,,,,
465,,0.0003374,0.0005665,,,,
466,,0.0002581,0.0007956,,,,
467,,0.0001788,0.0010247,,,,
468,,0.0001331,0.001383,,,,
469,,0.0001139,0.0018282,,,,
470,,0.00009,0.002473,,,,
471,,,0.0039609,,,,
472,,,0.0071589,,,,
473,,,0.0156758,,,,
474,,,0.04077,,,,
475,,,0.1192428,,,,
476,,,0.3209115,,,,
477,,,0.6536184,,,,
478,,,0.8912993,,,,
479,,,0.9606621,,,,
480,,,0.965459,,,,
481,,,0.9935805,,,,
482,,,0.9753448,,,,
483,,,0.9371672,,,,
484,,,0.9611115,,,,
485,,,0.9852522,,,,
486,,,0.9569128,,,,
487,,,0.9093484,,,,
488,,,0.8489459,,,,
489,,,0.834339,,,,
490,,,0.8904088,,,,
491,,,0.935091,,,,
492,,,0.9453287,,,,
493,,,0.9685869,,,,
494,,,0.9379656,,,,
495,,,0.7374741,,,,
496,,,0.4520177,,,,
497,,,0.2279794,,,,
498,,,0.1168806,,,,
499,,,0.0645271,,,,
500,,,0.038118,,,,
501,,,0.0232853,,,,
502,,,0.0128478,,,,
503,,,0.0083534,,,,
504,,,0.0053187,,,,
505,,,0.003371,,,,
506,,,0.0021473,,,,
507,,,0.0013987,,,,
508,,,0.0010952,,,,
509,,,0.0009026,,,,
510,,,0.00071,0.0044639,,,
511,,,0.0005174,0.0045103,,,
512,,,0.0004058,0.0045673,,,
513,,,0.0002977,0.0046339,,,
514,,,0.0001897,0.0047005,,,
515,,,0.0000816,0.0047671,,,
516,,,0.0000659,0.0048042,,,
517,,,0.0000502,0.0049028,,,
518,,,0.0000345,0.0050014,,,
519,,,0.0000312,0.0051,,,
520,,,0.0000278,0.0050452,,,
521,,,,0.0052322,,,
522,,,,0.0054192,,,
523,,,,0.0056062,,,
524,,,,0.0059382,,,
525,,,,0.0062862,,,
526,,,,0.0066343,,,
527,,,,0.0069823,,,
528,,,,0.0080621,,,
529,,,,0.0091419,,,
530,,,,0.0105533,,,
531,,,,0.0124751,,,
532,,,,0.0159,,,
533,,,,0.0216769,,,
534,,,,0.03043,,,
535,,,,0.0402496,,,
536,,,,0.0595838,,,
537,,,,0.1091825,,,
538,,,,0.1496468,,,
539,,,,0.265432,,,
540,,,,0.3898578,,,
541,,,,0.5342118,,,
542,,,,0.7463496,,,
543,,,,0.8612468,,,
544,,,,0.8983354,,,
545,,,,0.9068338,,,
546,,,,0.9126344,,,
547,,,,0.9136479,,,
548,,,,0.9467027,,,
549,,,,0.9694278,,,
550,,,,0.9817245,,,
551,,,,0.988655,,,
552,,,,0.9864364,,,
553,,,,0.9831451,,,
554,,,,0.9860387,,,
555,,,,0.9925379,,,
556,,,,0.9997168,,,
557,,,,0.9787194,,,
558,,,,0.8677804,,,
559,,,,0.764132,,,
560,,,,0.6223366,,,
561,,,,0.4133562,,,
562,,,,0.2255125,,,
563,,,,0.1427364,,,
564,,,,0.1014616,,,
565,,,,0.0803141,,,
566,,,,0.0473225,,,
567,,,,0.0386697,,,
568,,,,0.035305,,,
569,,,,0.026338,,,
570,,,,0.0195668,,,
571,,,,0.0152803,,,
572,,,,0.0123699,,,
573,,,,0.0090813,,,
574,,,,0.007498,,,
575,,,,0.0061341,,,
576,,,,0.0053481,,,
577,,,,0.0049019,,,
578,,,,0.0044557,,,
579,,,,0.0040095,,,
580,,,,0.0040038,,,
581,,,,0.0039981,,,
582,,,,0.0039924,,,
583,,,,0.0039867,,,
584,,,,0.0039348,,,
585,,,,0.0038368,,,
586,,,,0.0035812,,,
587,,,,0.0032007,,,
588,,,,0.0029603,,,
589,,,,0.0029842,,,
590,,,,0.003014,,,
591,,,,0.0030439,,,
592,,,,0.0032483,,,
593,,,,0.0034527,,,
594,,,,0.0036571,,,
595,,,,0.0037131,,,
596,,,,0.0037043,,,
597,,,,0.0036955,,,
598,,,,0.0036866,,,
599,,,,0.0037567,,,
600,,,,0.0038267,,,
601,,,,0.0038061,,,
602,,,,0.0037249,,,
603,,,,0.003448,,,
604,,,,0.0040814,,,
605,,,,0.0060648,,,
606,,,,0.0072862,,,
607,,,,0.0086414,,,
608,,,,0.011859,,,
609,,,,0.0077532,,,
610,,,,0.0060985,,,
611,,,,0.0038078,,,
612,,,,0.0015245,,,
613,,,,0.0009846,,,
614,,,,,,,
615,,,,,,,
616,,,,,,,
617,,,,,,,
618,,,,,,,
619,,,,,,,
620,,,,,,,
621,,,,,,,
622,,,,,,,
623,,,,,,,
624,,,,,,,
625,,,,,,,
626,,,,,,,
627,,,,,,,
628,,,,,,,
629,,,,,0.0018768,,
630,,,,,0.001974,,
631,,,,,0.0020711,,
632,,,,,0.0021683,,
633,,,,,0.0023082,,
634,,,,,0.0024571,,
635,,,,,0.0026196,,
636,,,,,0.002804,,
637,,,,,0.0030194,,
638,,,,,0.0032652,,
639,,,,,0.0035375,,
640,,,,,0.0038365,,
641,,,,,0.0043109,,
642,,,,,0.0046985,,
643,,,,,0.0052603,,
644,,,,,0.0058001,,
645,,,,,0.0064602,,
646,,,,,0.0073474,,
647,,,,,0.0082054,,
648,,,,,0.0094688,,
649,,,,,0.0117528,,
650,,,,,0.0138645,,
651,,,,,0.0164014,,
652,,,,,0.0201402,,
653,,,,,0.025615,,
654,,,,,0.0329924,,
655,,,,,0.0449246,,
656,,,,,0.0747937,,
657,,,,,0.0946389,,
658,,,,,0.1210041,,
659,,,,,0.1936677,,
660,,,,,0.2600504,,
661,,,,,0.3556853,,
662,,,,,0.508272,,
663,,,,,0.6364362,,
664,,,,,0.7219417,,
665,,,,,0.8432953,,
666,,,,,0.9122539,,
667,,,,,0.9479073,,
668,,,,,0.963357,,
669,,,,,0.9666336,,
670,,,,,0.9674321,,
671,,,,,0.9713931,,
672,,,,,0.9777148,,
673,,,,,0.9826289,,
674,,,,,0.9910324,,
675,,,,,0.9992471,,
676,,,,,0.9865113,,
677,,,,,0.9447913,,
678,,,,,0.8763458,,
679,,,,,0.7613031,,
680,,,,,0.6151485,,
681,,,,,0.4658038,,
682,,,,,0.3371831,,
683,,,,,0.2349029,,
684,,,,,0.1644482,,
685,,,,,0.1145998,,
686,,,,,0.0814839,,
687,,,,,0.0590771,,
688,,,,,0.0431088,,
689,,,,,0.032178,,
690,,,,,0.0244303,,
691,,,,,0.0188174,,
692,,,,,0.0148451,,
693,,,,,0.0117715,,
694,,,,,0.0094689,,
695,,,,,0.0077262,,
696,,,,,0.0064458,,
697,,,,,0.0053832,,
698,,,,,0.0045705,,
699,,,,,0.0039446,,
700,,,,,0.0034588,0.0005035,
701,,,,,0.0030671,0.0005279,
702,,,,,0.0026807,0.0005516,
703,,,,,0.0024116,0.0005888,
704,,,,,0.0022046,0.0006302,
705,,,,,0.002045,0.0006875,
706,,,,,0.0018443,0.00072,
707,,,,,0.0017163,0.0007731,
708,,,,,0.0016008,0.0008285,
709,,,,,0.0015418,0.0008998,
710,,,,,0.0014338,0.0009447,
